gene	log2fc	pval
ALG1	0.0368521485579722	0.19787108480804
ALG11	-0.00146237832475329	0.969046074219213
ALG13	0.0374328079799269	0.101816471064431
ALG14	0.0138872121909022	0.691981607719875
ALG2	0.0148288085609964	0.579469315488036
ALG5	-0.00172251759491129	0.961528508868999
ALG8	-0.041741116326378	0.423792055574372
ALG9	-0.0122117908833563	0.677126979063946
ALKBH4	0.0176335600790115	0.678837140067948
ALKBH5	0.0224143898434802	0.631417761116612
ALKBH7	0.00216020536013894	0.974455904380654
ALOX5	0.0958337300006008	0.253625726556324
ALOX5AP	0.0352590221738184	0.728949385417755
ALPL	-0.11937336389037	0.0278339715901323
ALS2	0.044117226872575	0.0402707669945689
ALYREF	0.00120697228673416	0.986636907033946
AMACR	-0.0295278050693461	0.747896774025372
AMBP	0.0945456589220652	0.21340635663374
AMD1	0.17927993587449	0.00371213500044054
AMDHD2	-0.0138637630436674	0.683873330036775
AMER2	0.0440081696015763	0.470742021807705
AMER3	0.0539056856149269	0.156247173163386
AMFR	-0.000657160897232389	0.986712592587214
AMIGO1	-0.00997803981935544	0.68274510343414
AMN1	0.00208634936803301	0.953286552114604
AMOT	-0.0418340995819135	0.133343594062394
AMOTL2	-0.00583567582828275	0.927842226546579
AMPD2	0.0904620959490717	1.83581827979869e-05
AMPD3	-0.048070813428763	0.257621264453804
AMPH	0.0269099634815241	0.250686387410228
AMT	0.0249895359069656	0.469925955976937
AMZ2	0.0424813018467172	0.567650224583462
ANAPC1	0.00507438074493258	0.822379594001676
ANAPC10	0.0103796403941591	0.741722423060006
ANAPC4	0.0361998942612393	0.257621264453804
ANAPC5	-0.011039354612138	0.790076589753558
ANAPC7	0.0316154938117284	0.496331543984069
ANGEL1	-0.0389469183764905	0.436426522922273
ANGEL2	0.0433350729363579	0.0468177226642501
ANK1	0.0332532590682311	0.535251121141163
ANK2	0.0824326566496572	0.0532680607813625
ANK3	-0.0963445141008932	0.14824411067265
ANKFY1	0.00868178168920145	0.63408350919523
ANKH	-0.0172319043127805	0.508780229291441
ANKHD1	-0.0067270649328599	0.838070255619398
ANKIB1	-0.0231875933838178	0.124442505184433
ANKLE2	0.0300375402229581	0.146237013702658
ANKMY2	-0.0135381003916038	0.70571613887594
ANKRD10	0.184937671371373	0.0908305136271449
ANKRD13A	0.0153912929733783	0.784479042642911
ANKRD13D	-0.0141277421920071	0.44444387987312
ANKRD16	0.0185110133007402	0.701753401621306
ANKRD17	-0.00867255962088569	0.698060233502152
ANKRD18A	0.194005351239923	0.0591081964209517
ANKRD20A3P	0.18172711244043	0.286083862985332
ANKRD24	-0.0561453801871819	0.0234863113760528
ANKRD27	-0.0387352892532551	0.0766929086263546
ANKRD28	-0.0396406454913179	0.00545365084608793
ANKRD29	0.0480637476042638	0.176360544152022
ANKRD34A	-0.0193758224964758	0.590810924114096
ANKRD35	0.0171149701696087	0.725921332083151
ANKRD36C	-0.0505358549569126	0.274360070310086
ANKRD39	-0.0121578685644673	0.858564258200852
ANKRD40	-0.0137704065348527	0.802196879920225
ANKRD44	0.0161012839688293	0.391693121515901
ANKRD45	0.0735395787957968	0.108608423998272
ANKRD46	-0.0131801952473526	0.666390695365035
ANKRD50	-0.035250898318446	0.430943922677133
ANKRD54	-0.0014374341138422	0.98055709553838
ANKRD63	0.0352773719454588	0.553522842771039
ANKRD65	-0.0329713246923153	0.263587301087332
ANKS1A	0.0153799120218873	0.678764524130838
ANKS1B	-0.0613133782156536	0.253005961203525
ANLN	-0.0446261792084836	0.732521943528019
ANO10	-0.018095500128575	0.537471937315622
ANO3	-0.00774739872278304	0.905663035463776
ANO4	-0.0222044736503183	0.662212117799697
ANO5	0.093806643789833	0.128709259450426
ANO6	0.137532573936772	3.19098195400195e-05
ANO8	0.0076028976752175	0.792788372550451
ANP32A	0.0305583555788231	0.520711056995975
ANP32B	0.0664741629664602	0.0218218599754392
ANP32E	0.00809929471017512	0.938468864047859
ANPEP	-0.0116689687339455	0.813373078891732
ANTXR1	0.0263890408955085	0.537471937315622
ANTXR2	0.0920995112740436	0.0149433520741174
ANXA1	0.0196771883635096	0.741413904680211
ANXA11	0.0135287859779146	0.683114728872101
ANXA2	0.00661940619106074	0.931944070032667
ANXA3	-0.0212131890040447	0.656479616334963
ANXA4	0.0260303029536263	0.44804216205614
ANXA5	0.0444162795841222	0.411616265762717
ANXA6	-0.0786457088915979	0.0226164208749874
ANXA7	-0.00753491543696903	0.769995317389761
AOC3	-0.162631609449976	0.0343353973676659
AP1AR	0.0758482169155933	0.455829614272353
AP1B1	-0.0354449828508969	0.0501412543932821
AP1G1	-0.039602935276356	0.0189890056366795
AP1M1	-0.00463830896310113	0.780290917446767
AP1S1	-0.0558506708015409	0.0077975569137224
AP1S2	0.032070490844717	0.555960832684846
AP2A1	-0.042425426640335	0.0338410516562062
AP2A2	-0.0481703409291319	0.110697740841409
AP2B1	-0.032053031679644	0.0999454876178785
AP2M1	-0.0164166298211921	0.392270802506569
AP2S1	-0.0134008211423081	0.538296933805834
AP3B1	-0.00599645370776276	0.804176669288363
AP3B2	-0.0304800793577662	0.114695186271575
AP3D1	-0.0847225699238878	0.627321219425333
AP3M1	-0.0104214955820537	0.659774298814894
AP3M2	-0.0308432076136895	0.164200286359194
AP3S1	-0.0205584679645983	0.478899087708074
AP3S2	0.0102750473167081	0.725322766235303
AP4B1	-0.0256058642649463	0.695386556458698
AP4E1	0.0100315744237178	0.76327831256438
AP4M1	-0.00646064384343476	0.903539713179028
AP4S1	0.0201218721978671	0.618259190903946
AP5B1	0.0568150141174105	0.718545312093845
AP5M1	-0.011911359428912	0.816559530343947
AP5S1	-0.0245751558411034	0.697165383074478
AP5Z1	0.0196062008240286	0.434075542514742
APBA1	0.00421686762732119	0.836083927552817
APBA2	-0.000211722897866445	0.99345914833297
APBB1	-0.000356558443283639	0.989632750110376
APBB1IP	0.0372137238777129	0.557311200167994
APBB2	0.00348890040035879	0.969526841406855
APBB3	-0.0811294833116403	0.150572432281251
APC	-0.00233925693409792	0.894059219196007
APC2	-0.00446707705357992	0.93821685108963
APCS	0.436657961319704	3.78131291419236e-05
APEH	-0.0172716763336567	0.456044879874474
APEX1	0.0152225965293867	0.718330833915439
API5	0.0271966331864981	0.512636729215686
APIP	0.028558994404634	0.787578402225216
APLNR	0.0998615797197114	0.0675034056702658
APLP1	-0.0421587457799353	0.466377152173385
APLP2	0.0360401372918399	0.0608326375369777
APMAP	0.0172998499300274	0.473708268019891
APOA1	-0.172150596434288	0.110279154287679
APOA2	-0.17202369279426	0.191768504329901
APOA4	-0.1496524534209	0.130351204354638
APOB	0.12624230366462	0.0952342709055852
APOC1	-0.228524981026124	0.00841525005447333
APOC2	-0.03522537615444	0.788963355067163
APOC3	0.0289815793576277	0.84942961058706
APOD	0.00383980642095999	0.964068371958125
APOE	0.107356933101995	0.0475604114796511
APOH	-0.0154892641495677	0.899525043525681
APOL1	0.00251661562557007	0.986712592587214
APOL2	0.0490905734234746	0.256206047457076
APOLTP	0.00389215842305032	0.92774817013816
APOO	-0.0316199498392577	0.222287524873063
APOOL	-0.0335432536809767	0.214610366022627
APP	0.657275693134546	2.98163431357195e-16
APPBP2	0.0342629655261326	0.414989884293257
APPL1	0.00574196557195313	0.723194593276209
APPL2	-0.00592797260608011	0.876019200440348
APRT	0.0463661127590819	0.0651635398697073
APTX	0.125415458582368	0.0159695132445081
AQP1	0.118565399081348	0.355458288308713
AQP4	0.116869585182955	0.0264455630430349
AQR	0.00441582276531047	0.941818385834214
ARAF	-0.0263296779224376	0.571367899326051
ARAP1	0.0626108603248491	0.0100681881828022
ARAP2	-0.00104838230924506	0.973189989903992
ARB2A	0.00953589196761093	0.758699111628895
ARC	-0.0782450317159493	0.0034952605197278
ARCN1	-0.00269826096924997	0.876702056643819
ARF3	0.111469444624589	0.254902788064858
ARF4	-0.000871904281166902	0.989632750110376
ARF5	-0.0348429289176675	0.256206047457076
ARF6	-0.000128489450345576	0.99743457962613
ARFGAP1	-0.0124588941329775	0.604177714161751
ARFGAP2	-0.0550094397531822	0.00216112517958961
ARFGAP3	0.0353466867675423	0.0700241189949186
ARFGEF1	-0.0324697825605983	0.0505231476085112
ARFGEF2	-0.0060232069902317	0.768175019460416
ARFGEF3	-0.0252921130586955	0.0853386720813681
ARFIP1	0.0224794100472866	0.237806699214412
ARFIP2	-0.0115160100817077	0.521176376842218
ARFRP1	-0.0106185522821205	0.833196316760109
ARG2	0.0620739088405659	0.239372902732163
ARGLU1	0.0232958593194583	0.570597045748245
ARHGAP1	0.00958839030515135	0.754099026377962
ARHGAP10	0.00600530424010831	0.934400127650668
ARHGAP12	0.00932885559191832	0.684423696365629
ARHGAP17	0.0240832293568587	0.567923564899121
ARHGAP18	0.0503233142308469	0.376528657836946
ARHGAP20	-0.0425538391269787	0.389715585108886
ARHGAP21	0.0216428060171732	0.162933503831249
ARHGAP22	0.0878782568123359	0.214492357235612
ARHGAP23	0.0248603730567852	0.166267236506696
ARHGAP25	-0.0190259085751973	0.713142689429973
ARHGAP26	0.00372846232288968	0.881503822728242
ARHGAP27	-0.0282063281225096	0.603897727533373
ARHGAP31	0.0276474996783905	0.686498892322817
ARHGAP32	-0.0242803456366796	0.300584353233459
ARHGAP33	-0.0165863993497945	0.715241453375681
ARHGAP35	-0.0129354765282182	0.445622047553924
ARHGAP39	-0.00913759502425315	0.575466318221736
ARHGAP4	0.0217680313778349	0.800351949265434
ARHGAP44	-0.0460192293786372	0.00100691310027426
ARHGAP45	0.0240739416409027	0.722305833140146
ARHGAP5	-0.00277141318573309	0.895465736114958
ARHGDIA	-0.0451955145177956	0.0662211689007996
ARHGDIB	-0.0495204962492015	0.169303922877583
ARHGDIG	-0.049278502314824	0.384754675924413
ARHGEF1	0.0489292558315565	0.297907639134094
ARHGEF10	0.0297081877834383	0.58941084407179
